tract_name,tract_number,total_population,noHighSchool,someHighSchool,highSchoolGraduate,someCollege,associates,bachelors,graduate
Census Tract 9800,9800,13,0,0,0,0,0,13,0
Census Tract 111,111,4183,129,564,862,772,202,924,730
Census Tract 110.02,110.02,1699,0,19,146,229,0,435,870
Census Tract 110.01,110.01,2281,16,116,264,141,50,772,922
Census Tract 109,109,1895,26,170,744,568,50,159,178
Census Tract 108,108,731,10,6,20,77,11,213,394
Census Tract 107,107,1408,0,46,103,108,0,708,443
Census Tract 106.03,106.03,1389,0,20,4,60,93,769,443
Census Tract 106.02,106.02,4186,92,21,439,268,48,1491,1827
Census Tract 106.01,106.01,1411,2,109,139,149,15,431,566
Census Tract 105,105,3351,53,245,198,280,97,1096,1382
Census Tract 104,104,3389,101,211,1218,748,462,246,403
Census Tract 103,103,3317,231,211,770,399,195,723,788
Census Tract 102.02,102.02,1330,35,0,41,211,30,445,568
Census Tract 102.01,102.01,1976,0,17,10,178,98,796,877
Census Tract 101,101,2419,33,3,182,134,45,642,1380
Census Tract 99.07,99.07,1822,53,392,723,356,16,115,167
Census Tract 99.06,99.06,1389,54,114,563,267,52,100,239
Census Tract 99.05,99.05,1736,39,75,665,518,111,180,148
Census Tract 99.04,99.04,1682,96,109,698,315,109,217,138
Census Tract 99.03,99.03,1698,57,110,676,383,18,202,252
Census Tract 99.02,99.02,2742,114,191,696,1126,199,152,264
Census Tract 99.01,99.01,2146,120,34,382,453,121,492,544
Census Tract 98.11,98.11,2517,49,395,1001,857,81,96,38
Census Tract 98.10,98.10,1782,49,18,1108,365,117,125,0
Census Tract 98.07,98.07,2660,47,110,980,861,168,269,225
Census Tract 98.04,98.04,1510,20,119,615,400,93,180,83
Census Tract 98.03,98.03,2087,81,310,774,541,221,130,30
Census Tract 98.02,98.02,1447,83,109,510,237,251,108,149
Census Tract 98.01,98.01,1341,53,318,528,288,72,32,50
Census Tract 97,97,2157,233,83,614,443,155,118,511
Census Tract 96.04,96.04,1710,53,168,541,505,47,251,145
Census Tract 96.03,96.03,2969,92,231,1209,627,321,267,222
Census Tract 96.02,96.02,2354,26,234,1023,369,271,338,93
Census Tract 96.01,96.01,1494,64,167,442,370,81,304,66
Census Tract 95.11,95.11,190,0,7,8,18,7,41,109
Census Tract 95.10,95.10,3167,249,350,774,1012,64,378,340
Census Tract 95.09,95.09,2390,83,145,611,454,122,599,376
Census Tract 95.08,95.08,3143,109,146,1257,651,43,659,278
Census Tract 95.07,95.07,1296,25,74,376,369,79,196,177
Census Tract 95.05,95.05,3066,91,101,637,809,166,580,682
Census Tract 95.04,95.04,2564,76,85,439,443,65,680,776
Census Tract 95.03,95.03,2204,13,106,298,510,57,509,711
Census Tract 94,94,4044,152,153,593,852,123,1343,828
Census Tract 93.02,93.02,1205,49,80,269,119,0,157,531
Census Tract 93.01,93.01,2825,0,71,302,554,42,688,1168
Census Tract 92.04,92.04,1897,219,220,607,276,141,219,215
Census Tract 92.03,92.03,2419,32,100,567,415,75,655,575
Census Tract 92.01,92.01,1854,72,42,147,101,56,631,805
Census Tract 91.02,91.02,3135,188,311,733,588,116,782,417
Census Tract 90,90,3095,131,193,910,574,50,586,651
Census Tract 89.04,89.04,3208,161,467,751,728,67,763,271
Census Tract 89.03,89.03,2197,31,97,433,422,116,642,456
Census Tract 88.04,88.04,1986,99,185,594,337,142,184,445
Census Tract 88.03,88.03,1992,88,141,838,271,73,356,225
Census Tract 88.02,88.02,3458,89,233,1054,519,205,686,672
Census Tract 87.02,87.02,2841,56,112,432,193,157,1157,734
Census Tract 87.01,87.01,2238,57,121,270,178,59,859,694
Census Tract 84.10,84.10,1387,6,44,92,44,21,635,545
Census Tract 84.02,84.02,2043,41,25,219,114,2,725,917
Census Tract 83.02,83.02,2141,39,48,87,75,22,922,948
Census Tract 83.01,83.01,2142,14,10,65,126,25,769,1133
Census Tract 82,82,2354,1,2,17,70,111,865,1288
Census Tract 81,81,2812,18,0,119,172,25,866,1612
Census Tract 80.02,80.02,2495,48,27,274,80,87,675,1304
Census Tract 80.01,80.01,2454,53,5,343,57,58,854,1084
Census Tract 79.03,79.03,1502,6,98,401,261,73,262,401
Census Tract 79.01,79.01,3460,2,193,788,627,96,824,930
Census Tract 78.09,78.09,1845,46,252,774,425,92,111,145
Census Tract 78.08,78.08,2715,233,245,890,553,140,452,202
Census Tract 78.07,78.07,1679,78,83,936,311,47,189,35
Census Tract 78.06,78.06,2181,33,95,872,515,112,273,281
Census Tract 78.04,78.04,2385,23,353,731,580,83,415,200
Census Tract 78.03,78.03,2918,208,296,857,553,438,344,222
Census Tract 77.09,77.09,1484,21,213,543,400,24,138,145
Census Tract 77.08,77.08,1843,30,253,624,750,68,55,63
Census Tract 77.07,77.07,2614,102,217,1304,287,120,259,325
Census Tract 77.03,77.03,4787,195,271,2438,1327,190,209,157
Census Tract 76.05,76.05,3227,102,217,1297,806,103,284,418
Census Tract 76.04,76.04,3199,140,158,984,815,253,308,541
Census Tract 76.03,76.03,3024,101,242,504,580,77,822,698
Census Tract 76.01,76.01,3667,305,370,1097,731,38,616,510
Census Tract 75.04,75.04,1694,2,280,715,344,46,164,143
Census Tract 75.03,75.03,1485,25,207,570,305,55,192,131
Census Tract 75.02,75.02,3024,99,430,1335,632,153,266,109
Census Tract 74.09,74.09,2449,334,274,743,591,172,261,74
Census Tract 74.08,74.08,1692,23,245,853,306,64,143,58
Census Tract 74.07,74.07,2149,41,249,779,453,124,281,222
Census Tract 74.06,74.06,1630,28,62,666,463,114,231,66
Census Tract 74.04,74.04,2463,51,210,975,724,55,258,190
Census Tract 74.03,74.03,1456,61,130,521,547,102,65,30
